Unnamed: 0,Unnamed: 1,Underweight,Unnamed: 3,Unnamed: 4,Unnamed: 5,Healthy weight,Unnamed: 7,Unnamed: 8,Unnamed: 9,Overweight,Unnamed: 11,Unnamed: 12,Unnamed: 13,Obese,Unnamed: 15,Unnamed: 16,Unnamed: 17,Number of children measured,Unnamed: 19,Participation rate,Unnamed: 21,Unnamed: 22
,,Reception,,Year 6,,Reception,,Year 6,,Reception,,Year 6,,Reception,,Year 6,,,,,,
ONS Code,Area,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Prevalence (%),95% confidence interval ±,Reception,Year 6,Reception,Year 6,Old District Code 
,,,,,,,,,,,,,,,,,,,,,,
E09000031,Waltham Forest,1.4925373134328357,0.41913580992185007,1.8359853121175032,0.5315887800757986,76.80348258706468,1.4590139781106382,59.97552019583844,1.9400588704325306,12.126865671641792,1.1283918600120655,14.647082823337412,1.4000701680011531,9.577114427860696,1.0172181993355451,23.54141166870665,1.679942578190904,3216,2451,93.59720605355064,90.14343508642884,00BH
E09000032,Wandsworth,1.4919663351185921,0.4648295435993349,1.9161056447436562,0.611614836722225,75.89900535577658,1.639886956501257,62.76540652511652,2.156765450256714,12.280030604437643,1.2584250261938354,15.32884515794925,1.607281317952434,10.328997704667177,1.16689959380249,19.989642672190573,1.7842062524719333,2614,1931,94.40231130371976,90.87058823529411,00BJ
E09000033,Westminster,1.2203876525484567,0.5767811181186135,1.0333863275039745,0.5590570943003144,75.30509691313712,2.2653970067298803,58.66454689984102,2.722260388440116,12.203876525484565,1.7195509410771623,15.500794912559618,2.000708185680983,11.270638908829863,1.6612554493037996,24.80127186009539,2.3873861842120268,1393,1258,93.17725752508362,90.83032490974729,00BK
,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,0.5453429159594063,0.08674604796318915,0.688350374365993,0.10281782864634652,74.9395066632959,0.5104491921744584,62.289670718943725,0.6027007521498635,13.66968832388313,0.4046348257960769,14.91828355204895,0.44303812844485024,10.845462096861569,0.36626722242178134,22.103695354641335,0.5160056114141243,27689,24842,97.90326002404356,96.95195722592983,A
E12000002,North West,0.911767744601715,0.06694895605530057,1.2907010853622762,0.08472559916998279,75.93888831490857,0.30107910684821954,63.990906424171314,0.3603196966326523,13.422099390432896,0.2401067710935291,14.94573188618363,0.26762669259639366,9.727244550056824,0.20871993155177226,19.77266060428278,0.2989623704261532,77432,68180,94.42005657984586,92.42489968550048,B
E12000003,Yorkshire and The Humber,0.9119934784823884,0.07678332494672051,1.3019607843137255,0.09838309366353981,76.97598587004518,0.3400389401707419,65.0235294117647,0.41389532591834405,13.06001834176828,0.27217119992111966,14.443137254901961,0.3050882316116956,9.052002309704154,0.23175515417138545,19.231372549019607,0.34205327480618397,58882,51000,95.46523127806871,92.68851207676789,D
E12000004,East Midlands,0.8528009917284717,0.08332094863961081,1.2655542986425339,0.1063607020413457,76.72644110543527,0.38290766433350704,65.53780165912518,0.4521930478392601,13.428943937418513,0.3089565599620784,14.847285067873303,0.33832121401266135,8.991813965417744,0.2592113526597828,18.349358974358974,0.3682957482746574,46787,42432,93.14738497680622,93.07304233384515,E
E12000005,West Midlands,1.0546163433575149,0.08003350903685313,1.4249941450935883,0.09859621585880354,75.43223291042153,0.33727811863699253,62.30881478679133,0.40314840275722785,13.034099261768558,0.26377999366607285,15.049811742239996,0.29745276323336295,10.479051484452398,0.23996625086400342,21.216379325875085,0.34011352689580426,62582,55509,95.02710418026938,93.19219662883621,F
E12000006,East,0.7737401115698572,0.0681740648828942,1.1977248696539906,0.09103531617833724,77.38976961139652,0.3254637270659743,67.1746818828162,0.3929661840733596,13.194553878155629,0.26331716153117257,14.429212090276005,0.29405730491977145,8.641936398877997,0.2186186955129463,17.1983811572538,0.31579925222379895,63458,54854,95.57071642645221,92.61341572540478,G
E12000007,London,1.421251949209178,0.07742619107323032,1.5923610446107332,0.0907466333736182,75.23836043662286,0.2823384781534414,60.892761870887426,0.35375839341137744,12.386945867676543,0.21549005842830724,14.989261139003268,0.2587750207293122,10.953441746491425,0.2042888104967926,22.52561594549857,0.3028396582567531,89780,73099,93.88561807857614,92.73580716777671,H
E12000008,South East,0.7722621602898254,0.05781990870870963,1.1438868648881577,0.07531538698018866,78.4675138836837,0.27150042449355194,68.05082200545827,0.33024552561941733,12.484526364803017,0.21832674387311507,14.289445162638254,0.24786502291820636,8.275697591223468,0.18197972043180827,16.515845967015316,0.26299218740315433,88053,76581,92.55097750683203,91.07461408557906,J
E12000009,South West,0.49412733583011437,0.06085766921176745,0.9210909661370207,0.08863906726968787,76.80738838016433,0.3663092163162292,68.07332870173238,0.43256225672446424,14.004196160709034,0.3011890936712991,14.38560319132247,0.3256272541066927,8.694288123296536,0.2445330171040869,16.61997714080814,0.3454057189842833,50999,44621,92.51351449406813,89.07987462817671,K
,,,,,,,,,,,,,,,,,,,,,,
ENG,England,0.9107912498983493,0.02475668994762188,1.2524484950663588,0.031102744504681534,76.53050761762324,0.11044323465219154,64.85406765787448,0.13352474331235964,13.070879783333512,0.0878425682727493,14.690970398152785,0.09900983802427815,9.487821349144895,0.07636717601723618,19.202513448906373,0.1101624463762137,565662,491118,94.22250798288323,92.35030528451539,64
