Unnamed: 0,Unnamed: 1,Underweight,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Healthy weight,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Overweight,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Obese,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Number of children measured,Unnamed: 27,Participation rate,Unnamed: 29
,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,,,,
ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6,Reception,Year 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,0.7013,0.6108,0.8049999999999999,0.9349,0.8239,1.0608,74.9404,74.4341,75.44,62.9846,62.3896,63.5758,13.986700000000003,13.589,14.394099999999998,14.9389,14.5063,15.382099999999998,10.3717,10.0231,10.7309,21.1415,20.6443,21.6474,28520,25457,97.89999999999999,97.3
E12000002,North West,0.8766,0.8147999999999999,0.9432000000000001,1.2902,1.2098,1.376,75.5517,75.2548,75.8463,64.3264,63.9731,64.6782,13.6574,13.422800000000002,13.8955,14.551999999999998,14.2944,14.8135,9.9142,9.7104,10.1218,19.8314,19.5395,20.1264,81106,70918,95.8,94.69999999999999
E12000003,Yorkshire and The Humber,0.9244,0.851,1.004,1.4079,1.3107,1.5121,76.8346,76.4961,77.1697,65.1796,64.7715,65.5855,13.0389,12.772400000000001,13.3101,14.1888,13.8933,14.4895,9.2021,8.9739,9.4355,19.2237,18.8893,19.5626,60258,52633,94.5,93.4
E12000004,East Midlands,0.9911,0.9079,1.0818,1.4551,1.3476,1.5711,77.281,76.9114,77.6464,66.3197,65.8776,66.7589,12.8201,12.5298,13.1162,14.137,13.8153,14.465,8.9078,8.6611,9.1608,18.0882,17.7321,18.4499,49945,44189,92.9,92
E12000005,West Midlands,1.1657,1.0862,1.2509,1.5487,1.4516,1.6522999999999999,75.3805,75.0488,75.7093,62.6788,62.2849,63.070899999999995,12.9859,12.7304,13.2457,14.7879,14.501799999999998,15.078700000000001,10.4679,10.2356,10.705,20.9846,20.6556,21.3174,65371,58176,95.3,95
E12000006,East,0.777,0.7133,0.8463,1.3794,1.2868,1.4786,77.6681,77.3513,77.9817,67.557,67.1712,67.9404,13.0272,12.7745,13.284100000000002,13.8836,13.6019,14.1701,8.5277,8.3187,8.7415,17.1801,16.8724,17.4922,67052,56909,95.5,93.4
E12000007,London,1.4734,1.3986,1.5521,1.6696,1.5824,1.7615000000000003,75.3773,75.1019,75.6507,60.7449,60.403099999999995,61.085699999999996,12.3298,12.1219,12.540800000000003,15.195400000000001,14.9463,15.448,10.8195,10.6232,11.0189,22.3901,22.1001,22.6828,94681,78642,94.8,94.3
E12000008,South East,0.7286,0.674,0.7875,1.2473,1.1727,1.3267,78.8111,78.5372,79.0824,68.4186,68.0955,68.74,12.4946,12.2757,12.7169,13.908400000000002,13.6703,14.150000000000002,7.965700000000001,7.786900000000001,8.1482,16.4256,16.1704,16.6841,86333,79930,87.2,92.5
E12000009,South West,0.553,0.4939,0.6191,0.989,0.9038,1.0821,75.9497,75.5876,76.3081,67.9762,67.5548,68.3947,14.2537,13.961600000000002,14.551,14.352299999999998,14.0396,14.6707,9.2436,9.0023,9.4906,16.6825,16.3496,17.0207,54070,47421,94.8,91.60000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG,England,0.9482,0.9237000000000001,0.9733,1.3615,1.3302,1.3936,76.5109,76.4023,76.6191,65.1146,64.9842,65.2447,13.062,12.976100000000002,13.148499999999999,14.431,14.3352,14.527300000000002,9.4789,9.4043,9.5541,19.0929,18.9857,19.2005,587336,514275,93.81764743466871,93.64347832420464
