Unnamed: 0,"NCMP 2010/11 to 2012/13
Obesity and excess weight prevalence by school year and electoral ward of child residence",Unnamed: 2,Unnamed: 3,Unnamed: 4,Reception (age 4-5 years),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Year 6 (age 10-11),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Reception (age 4-5 years).1,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Year 6 (age 10-11).1,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,,,,Number measured,Number obese,% obese,95% confidence limits,,,Number measured,Number obese,% obese,95% confidence limits,,,Number measured,Number excess weight,% excess weight,95% confidence limits,,,Number measured,Number excess weight,% excess weight,95% confidence limits,
,,,,,,,,Lower,Upper,,,,,Lower,Upper,,,,,Lower,Upper,,,,,Lower,Upper
Geog level,Code,Area name,LA code,LA name,,,,,,,,,,,,,,,,,,,,,,,
Ward,E05000001,Aldersgate,E09000001,City of London,12,s,s,s,s,,6,s,s,s,s,,12,s,s,s,s,,6,s,s,s,s
Ward,E05000015,Cripplegate,E09000001,City of London,25,s,s,s,s,,19,s,s,s,s,,25,s,s,s,s,,19,s,s,s,s
Ward,E05000017,Farringdon Within,E09000001,City of London,s,s,s,s,s,,s,s,s,s,s,,s,s,s,s,s,,s,s,s,s,s
Ward,E05000021,Portsoken,E09000001,City of London,25,s,s,s,s,,32,s,s,s,s,,25,s,s,s,s,,32,s,s,s,s
MSOA,E02000591,Kensington and Chelsea 015,E09000020,Kensington and Chelsea,151,12,0.07947019867549669,0.04604266587121892,0.13376356324041994,,91,17,0.18681318681318682,0.12003755149503506,0.2789594619549228,,151,35,0.23178807947019867,0.17164526950125256,0.3052390183573518,,91,30,0.32967032967032966,0.2417090052929046,0.43142972132023033
MSOA,E02000592,Kensington and Chelsea 016,E09000020,Kensington and Chelsea,61,s,s,s,s,,25,s,s,s,s,,61,11,0.18032786885245902,0.10379140124053358,0.2947415634812106,,25,s,s,s,s
MSOA,E02000593,Kensington and Chelsea 017,E09000020,Kensington and Chelsea,119,s,s,s,s,,61,18,0.29508196721311475,0.19555018758276055,0.41889402057220365,,119,15,0.12605042016806722,0.07789721130352728,0.1975916924068308,,61,29,0.47540983606557374,0.35530487422845264,0.598428430750143
MSOA,E02000594,Kensington and Chelsea 018,E09000020,Kensington and Chelsea,57,s,s,s,s,,39,s,s,s,s,,57,10,0.17543859649122806,0.09818852239709963,0.29367352829693927,,39,s,s,s,s
MSOA,E02000595,Kensington and Chelsea 019,E09000020,Kensington and Chelsea,36,s,s,s,s,,30,s,s,s,s,,36,s,s,s,s,,30,s,s,s,s
MSOA,E02000596,Kensington and Chelsea 020,E09000020,Kensington and Chelsea,68,s,s,s,s,,39,s,s,s,s,,68,10,0.14705882352941177,0.08188817736343271,0.2499739425330876,,39,s,s,s,s
MSOA,E02000597,Kensington and Chelsea 021,E09000020,Kensington and Chelsea,136,13,0.09558823529411764,0.05671510952978476,0.1566798240782598,,139,32,0.2302158273381295,0.16805538267020528,0.3068869721670838,,136,33,0.2426470588235294,0.1783152849208159,0.3211178546479398,,139,56,0.4028776978417266,0.3250133108140783,0.48596593692734574
MSOA,E02000598,Kingston upon Thames 001,E09000021,Kingston upon Thames,338,14,0.04142011834319527,0.02483089960269954,0.06831596131505678,,283,36,0.127208480565371,0.09331884857860814,0.17108316336382504,,338,48,0.14201183431952663,0.10881355823847931,0.18325592673602725,,283,71,0.2508833922261484,0.20393955070292197,0.3044997084624007
MSOA,E02000599,Kingston upon Thames 002,E09000021,Kingston upon Thames,103,s,s,s,s,,110,13,0.11818181818181818,0.07038128226926786,0.1917504501402393,,103,12,0.11650485436893204,0.06791546266112922,0.19267119656278536,,110,31,0.2818181818181818,0.20621143683103013,0.3721495531172597
MSOA,E02000600,Kingston upon Thames 003,E09000021,Kingston upon Thames,296,11,0.037162162162162164,0.020875295099363814,0.0653084465430732,,208,32,0.15384615384615385,0.11113344672235331,0.2091129261942729,,296,38,0.12837837837837837,0.09497853643853234,0.17130038020867988,,208,74,0.3557692307692308,0.2938631343841402,0.4229061876644541
MSOA,E02000601,Kingston upon Thames 004,E09000021,Kingston upon Thames,449,22,0.04899777282850779,0.03257714972511213,0.07307010913074562,,292,33,0.11301369863013698,0.08161239159800954,0.15446492866366543,,449,64,0.14253897550111358,0.11322936130557017,0.1779132808987023,,292,65,0.2226027397260274,0.1786651051861378,0.27374430137311595
MSOA,E02000602,Kingston upon Thames 005,E09000021,Kingston upon Thames,310,29,0.0935483870967742,0.0659246668188233,0.13112214481999773,,201,42,0.208955223880597,0.15847060668803267,0.2703559566766876,,310,63,0.2032258064516129,0.16219093644969154,0.25152578315960633,,201,58,0.2885572139303483,0.23034827681610245,0.3546966623804892
MSOA,E02000603,Kingston upon Thames 006,E09000021,Kingston upon Thames,327,33,0.10091743119266056,0.072764203138366,0.13833829613620663,,292,55,0.18835616438356165,0.1476649584481718,0.23714067114308857,,327,71,0.21712538226299694,0.17586240316324084,0.26495737601605396,,292,90,0.3082191780821918,0.25803273238390895,0.3633861165953282
MSOA,E02000604,Kingston upon Thames 007,E09000021,Kingston upon Thames,313,24,0.07667731629392971,0.052065664726185776,0.11155389129294008,,268,43,0.16044776119402984,0.12135342658869515,0.20913868896441226,,313,60,0.19169329073482427,0.15192741850393815,0.23893512606848183,,268,80,0.29850746268656714,0.24688278142112152,0.35582682561039275
